holiday,ds,lower_window,upper_window
New Year Day,2017-01-02,0,1
Martin Luther King Jr. Day,2017-01-16,0,1
Presidents Day (Washingtons Birthday),2017-02-20,0,1
Good Friday,2017-04-14,0,1
Memorial Day,2017-05-29,0,1
Independence Day,2017-07-04,0,1
Labor Day,2017-09-04,0,1
Columbus Day,2017-10-09,0,1
Veterans Day,2017-11-10,0,1
Thanksgiving Day,2017-11-23,0,1
Christmas Eve,2017-12-24,0,1
Christmas Day,2017-12-25,0,1
New Year's Eve,2017-12-31,0,1
New Year Day,2018-01-01,0,1
Martin Luther King Jr. Day,2018-01-15,0,1
Presidents Day (Washingtons Birthday),2018-02-19,0,1
Good Friday,2018-03-30,0,1
Memorial Day,2018-05-28,0,1
Independence Day,2018-07-04,0,1
Labor Day,2018-09-03,0,1
Columbus Day,2018-10-08,0,1
Veterans Day,2018-11-12,0,1
Thanksgiving Day,2018-11-22,0,1
Christmas Eve,2018-12-24,0,1
Christmas Day,2018-12-25,0,1
New Year's Eve,2018-12-31,0,1
New Year Day,2019-01-01,0,1
Martin Luther King Jr. Day,2019-01-21,0,1
Presidents Day (Washingtons Birthday),2019-02-18,0,1
Good Friday,2019-04-19,0,1
Memorial Day,2019-05-27,0,1
Independence Day,2019-07-04,0,1
Labor Day,2019-09-02,0,1
Columbus Day,2019-10-14,0,1
Veterans Day,2019-11-11,0,1
Thanksgiving Day,2019-11-28,0,1
Christmas Eve,2019-12-24,0,1
Christmas Day,2019-12-25,0,1
New Year's Eve,2019-12-31,0,1
New Year Day,2020-01-01,0,1
Martin Luther King Jr. Day,2020-01-20,0,1
Presidents Day (Washingtons Birthday),2020-02-17,0,1
Good Friday,2020-04-10,0,1
Memorial Day,2020-05-25,0,1
Independence Day,2020-07-03,0,1
Labor Day,2020-09-07,0,1
Columbus Day,2020-10-12,0,1
Veterans Day,2020-11-11,0,1
Thanksgiving Day,2020-11-26,0,1
Christmas Eve,2020-12-24,0,1
Christmas Day,2020-12-25,0,1
New Year's Eve,2020-12-31,0,1
New Year Day,2021-01-01,0,1
Martin Luther King Jr. Day,2021-01-18,0,1
Presidents Day (Washingtons Birthday),2021-02-15,0,1
Good Friday,2021-04-02,0,1
Memorial Day,2021-05-10,0,1
Independence Day,2021-07-04,0,1
Labor Day,2021-09-06,0,1
Columbus Day,2021-10-11,0,1
Veterans Day,2021-11-11,0,1
Thanksgiving Day,2021-11-25,0,1
Christmas Eve,2021-12-24,0,1
Christmas Day,2021-12-25,0,1
New Year's Eve,2021-12-31,0,1
New Year Day,2022-01-01,0,1
Martin Luther King Jr. Day,2022-01-17,0,1
Presidents Day (Washingtons Birthday),2022-02-21,0,1
Good Friday,2022-04-15,0,1
Memorial Day,2022-04-25,0,1
Independence Day,2022-07-04,0,1
Labor Day,2022-09-05,0,1
Columbus Day,2022-10-10,0,1
Veterans Day,2022-11-11,0,1
Thanksgiving Day,2022-11-25,0,1
Christmas Eve,2022-12-24,0,1
Christmas Day,2022-12-25,0,1
New Year's Eve,2022-12-31,0,1
New Year Day,2023-01-02,0,1
Martin Luther King Jr. Day,2023-01-16,0,1
Presidents Day (Washingtons Birthday),2023-02-20,0,1
Good Friday,2023-04-07,0,1
Memorial Day,2023-05-29,0,1
Independence Day,2023-07-04,0,1
Labor Day,2023-09-04,0,1
Columbus Day,2023-10-09,0,1
Veterans Day,2023-11-10,0,1
Thanksgiving Day,2023-11-23,0,1
Christmas Eve,2023-12-24,0,1
Christmas Day,2023-12-25,0,1
New Year's Eve,2023-12-31,0,1
