rates_dayOfWeek_id,borough_id,day_of_week,price
1,1,Monday,95.17
2,1,Tuesday,95.15
3,1,Wednesday,95.17
4,1,Thursday,95.23
5,1,Friday,96.97
6,1,Saturday,97.04
7,1,Sunday,95.45
8,2,Monday,123.23
9,2,Tuesday,123.23
10,2,Wednesday,123.24
11,2,Thursday,123.32
12,2,Friday,126.24
13,2,Saturday,126.26
14,2,Sunday,123.3
15,3,Monday,195.19
16,3,Tuesday,195.56
17,3,Wednesday,195.7
18,3,Thursday,195.82
19,3,Friday,198.87
20,3,Saturday,198.81
21,3,Sunday,195.02
22,4,Monday,105.17
23,4,Tuesday,105.15
24,4,Wednesday,105.17
25,4,Thursday,105.21
26,4,Friday,107.83
27,4,Saturday,107.95
28,4,Sunday,105.26
29,5,Monday,113.62
30,5,Tuesday,113.61
31,5,Wednesday,113.64
32,5,Thursday,113.74
33,5,Friday,116.38
34,5,Saturday,116.43
35,5,Sunday,113.76
